keyword,title,authors,published,updated,year,categories,summary,id,doi,doi_full,oa_id,oa_title,oa_year,oa_cited_by,oa_topics,oa_concepts,oa_keywords,oa_venue_name,oa_venue_type,oa_venue_id
distributed computing,The Abundance and Emission of H2O and O2 in Clumpy Molecular Clouds,"Marco Spaans, Ewine van Dishoeck",2000-11-23,2000-11-23,2000,astro-ph,Recent observations with the Submillimeter Wave Astronomy Satellite indicate abundances of gaseous H2O and O2 in dense molecular clouds which are significantly lower than found in standard homogeneous chemistry models. We present here results for the thermal and chemical balance of inhomogeneous mol…,http://arxiv.org/abs/astro-ph/0011427v1,10.1086/319097,https://doi.org/10.1086/319097,https://openalex.org/W1504863830,The Abundance and Emission of H[TINF]2[/TINF]O and O[TINF]2[/TINF] in Clumpy Molecular Clouds,2001.0,32.0,Astrophysics and Star Formation Studies; Atmospheric Ozone and Climate; Molecular Spectroscopy and Structure,Molecular cloud; Physics; Astrophysics; Radiative transfer; Homogeneous; Photodissociation; Radiation; Ultraviolet; Interstellar medium; Line (geometry); Galaxy; Chemistry; Photochemistry; Stars; Optics; Thermodynamics; Geometry; Mathematics,Molecular cloud; Physics; Astrophysics; Radiative transfer; Homogeneous; Photodissociation; Radiation; Ultraviolet; Interstellar medium; Line (geometry); Galaxy; Chemistry; Photochemistry; Stars; Optics; Thermodynamics,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Giant cluster arcs as a constraint on the scattering cross-section of dark matter,"Massimo Meneghetti, Naoki Yoshida, Matthias Bartelmann, Lauro Moscardini, Volker Springel, Giuseppe Tormen, Simon D. M. White",2000-11-22,2001-03-02,2000,astro-ph,We carry out ray tracing through five high resolution simulations of a galaxy cluster to study how its ability to produce giant gravitationally lensed arcs is influenced by the collision cross-section of its dark matter. In three cases typical dark matter particles in the cluster core undergo betwee…,http://arxiv.org/abs/astro-ph/0011405v2,10.1046/j.1365-8711.2001.04477.x,https://doi.org/10.1046/j.1365-8711.2001.04477.x,https://openalex.org/W2140196158,Giant cluster arcs as a constraint on the scattering cross-section of dark matter,2001.0,93.0,"Galaxies: Formation, Evolution, Phenomena; Plant Water Relations and Carbon Dynamics; Astrophysics and Cosmic Phenomena",,,Monthly Notices of the Royal Astronomical Society,journal,https://openalex.org/S195663288
distributed computing,Structure and Dynamics of amorphous Silica Surfaces,"Alexandra Roder, Walter Kob, Kurt Binder",2000-11-20,2000-11-20,2000,"cond-mat.stat-mech, cond-mat.dis-nn","We use molecular dynamics computer simulations to study the equilibrium properties of the surface of amorphous silica. Two types of geometries are investigated: i) clusters with different diameters (13.5Å, 19Å, and 26.5Å) and ii) a thin film with thickness 29Å. We find that the shape of the clusters…",http://arxiv.org/abs/cond-mat/0011322v1,10.1063/1.1360257,https://doi.org/10.1063/1.1360257,https://openalex.org/W2044718950,Structure and dynamics of amorphous silica surfaces,2001.0,194.0,Glass properties and applications; Material Dynamics and Properties; Photonic Crystals and Applications,,,The Journal of Chemical Physics,journal,https://openalex.org/S77047749
distributed computing,Parton distributions in the chiral quark model: a continuum computation,"J. Baacke, H. Sprenger",2000-11-16,2001-01-19,2000,hep-ph,"We compute the parton distributions for the chiral quark model. We present a new technique for performing such computations based on Green functions. This approach avoids a discretization of the spectrum. It therefore does not need any smoothing procedures.
 The results are similar to those of other…",http://arxiv.org/abs/hep-ph/0011204v2,10.1103/PhysRevD.63.094016,https://doi.org/10.1103/PhysRevD.63.094016,https://openalex.org/W2088917412,Parton distributions in the chiral quark model: A continuum computation,2001.0,2.0,Particle physics theoretical and experimental studies; Quantum Chromodynamics and Particle Interactions; High-Energy Particle Collisions Research,Parton; Computation; Physics; Particle physics; Discretization; Quark; Smoothing; Spectrum (functional analysis); Statistical physics; Mathematics; Algorithm; Quantum mechanics; Mathematical analysis; Statistics,Parton; Computation; Physics; Particle physics; Discretization; Quark; Smoothing; Spectrum (functional analysis); Statistical physics; Mathematics; Algorithm; Quantum mechanics; Mathematical analysis,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
distributed computing,Galaxy Formation at z~3: Constraints from Spatial Clustering,"Risa H. Wechsler, Rachel S. Somerville, James S. Bullock, Tsafrir S. Kolatt, Joel R. Primack, George R. Blumenthal, Avishai Dekel",2000-11-14,2001-01-25,2000,astro-ph,"We use N-body simulations combined with semi-analytic models to compute the clustering properties of modeled galaxies at z~3, and confront these predictions with the clustering properties of the observed population of Lyman-break galaxies (LBGs). Several scenarios for the nature of LBGs are explored…",http://arxiv.org/abs/astro-ph/0011261v2,10.1086/321373,https://doi.org/10.1086/321373,https://openalex.org/W2043546334,Galaxy Formation at<i>z</i> ∼ 3: Constraints from Spatial Clustering,2001.0,68.0,"Galaxies: Formation, Evolution, Phenomena; Astronomy and Astrophysical Research; Scientific Research and Discoveries",Physics; Astrophysics; Galaxy; Cluster analysis; Halo; Redshift; Dark matter; Luminosity; Star formation; Galaxy formation and evolution; Population; Astronomy; Statistical physics; Statistics; Sociology; Mathematics; Demography,Physics; Astrophysics; Galaxy; Cluster analysis; Halo; Redshift; Dark matter; Luminosity; Star formation; Galaxy formation and evolution; Population; Astronomy; Statistical physics; Statistics,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Meson twist-4 parton distributions in terms of twist-2 distribution amplitudes at large Nc,"N. -Y. Lee, P. V. Pobylitsa, M. V. Polyakov, K. Goeke",2000-11-13,2000-11-13,2000,hep-ph,We show that in the large N_c limit four-quark twist-4 distributions in the pion can be expressed in terms of twist-2 pion distribution amplitude. This allows us to compute the isospin-2 structure function of the pion F_2^{I=2}(x_B) in the large N_c limit. The method can be easily applied to other m…,http://arxiv.org/abs/hep-ph/0011166v1,10.1088/0954-3899/27/12/101,https://doi.org/10.1088/0954-3899/27/12/101,https://openalex.org/W2088945864,Meson twist-4 parton distributions in terms of twist-2 distribution amplitudes at large<i>N<sub>c</sub></i>,2001.0,1.0,Particle physics theoretical and experimental studies; Quantum Chromodynamics and Particle Interactions; High-Energy Particle Collisions Research,,,Journal of Physics G Nuclear and Particle Physics,journal,https://openalex.org/S78376336
distributed computing,Josephson Coupling through a Quantum Dot,"A. V. Rozhkov, D. P. Arovas, F. Guinea",2000-11-12,2000-11-12,2000,"cond-mat.mes-hall, cond-mat.supr-con","We derive, via fourth order perturbation theory, an expression for the Josephson current through a gated interacting quantum dot. We analyze our expression for two different models of the superconductor-dot-superconductor (SDS) system. When the matrix elements connecting dot and leads are featureles…",http://arxiv.org/abs/cond-mat/0011201v1,10.1103/PhysRevB.64.233301,https://doi.org/10.1103/PhysRevB.64.233301,https://openalex.org/W2075151266,Josephson coupling through a quantum dot,2001.0,56.0,Physics of Superconductivity and Magnetism; Quantum and electron transport phenomena; Topological Materials and Phenomena,Quantum dot; Josephson effect; Physics; Superconductivity; Condensed matter physics; Coulomb; Pi Josephson junction; Coupling (piping); Quantum mechanics; Coulomb blockade; Quantum tunnelling; Parity (physics); Coupling constant; Voltage; Electron; Engineering; Mechanical engineering; Transistor,Quantum dot; Josephson effect; Physics; Superconductivity; Condensed matter physics; Coulomb; Pi Josephson junction; Coupling (piping); Quantum mechanics; Coulomb blockade; Quantum tunnelling; Parity (physics); Coupling constant; Voltage; Electron,"Physical review. B, Condensed matter",journal,https://openalex.org/S4210174675
distributed computing,Hydrodynamical simulations of the Sunyaev-Zel'dovich effect: the kinetic effect,"Antonio C da Silva, Domingos Barbosa, Andrew R Liddle, Peter A Thomas",2000-11-09,2000-11-09,2000,astro-ph,"We use hydrodynamical N-body simulations to study the kinetic Sunyaev-Zel'dovich effect. We construct sets of maps, one square degree in size, in three different cosmological models. We confirm earlier calculations that on the scales studied the kinetic effect is much smaller than the thermal (excep…",http://arxiv.org/abs/astro-ph/0011187v1,10.1046/j.1365-8711.2001.04580.x,https://doi.org/10.1046/j.1365-8711.2001.04580.x,https://openalex.org/W2146084926,Hydrodynamical simulations of the Sunyaev-Zel'dovich effect: the kinetic effect,2001.0,43.0,"Galaxies: Formation, Evolution, Phenomena; Cosmology and Gravitation Theories; Astrophysics and Star Formation Studies",Physics; Sunyaev–Zel'dovich effect; Cosmic microwave background; Kinetic energy; Astrophysics; Redshift; Mean kinetic temperature; Cosmic background radiation; Spectral density; Anisotropy; Thermal; Galaxy; Optics; Quantum mechanics; Meteorology; Statistics; Mathematics,Physics; Sunyaev–Zel'dovich effect; Cosmic microwave background; Kinetic energy; Astrophysics; Redshift; Mean kinetic temperature; Cosmic background radiation; Spectral density; Anisotropy; Thermal; Galaxy; Optics,Monthly Notices of the Royal Astronomical Society,journal,https://openalex.org/S195663288
distributed computing,"Population synthesis of neutron stars, strange (quark) stars and black holes","Krzysztof Belczynski, Tomasz Bulik, Wlodzimierz Kluzniak",2000-11-09,2000-11-09,2000,astro-ph,"We compute and present the distribution in mass of single and binary neutron stars, strange stars, and black holes. The calculations were performed using a stellar population synthesis code. We follow all phases of single and binary evolution, starting from a ZAMS binary and ending in the creation o…",http://arxiv.org/abs/astro-ph/0011183v1,10.1086/339901,https://doi.org/10.1086/339901,https://openalex.org/W2049043208,"Population Synthesis of Neutron Stars, Strange (Quark) Stars, and Black Holes",2002.0,23.0,Pulsars and Gravitational Waves Research; Gamma-ray bursts and supernovae; Cold Atom Physics and Bose-Einstein Condensates,,,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Numerical Study of Length Spectra and Low-lying Eigenvalue Spectra of Compact Hyperbolic 3-manifolds,Kaiki Taro Inoue,2000-11-09,2000-11-14,2000,"math-ph, gr-qc, math.DG, nlin.CD, quant-ph","In this paper, we numerically investigate the length spectra and the low-lying eigenvalue spectra of the Laplace-Beltrami operator for a large number of small compact(closed) hyperbolic (CH) 3-manifolds. The first non-zero eigenvalues have been successfully computed using the periodic orbit sum meth…",http://arxiv.org/abs/math-ph/0011012v2,10.1088/0264-9381/18/4/305,https://doi.org/10.1088/0264-9381/18/4/305,https://openalex.org/W2008139102,Numerical study of length spectra and low-lying eigenvalue spectra of compact hyperbolic 3-manifolds,2001.0,16.0,Quantum chaos and dynamical systems; Geometric and Algebraic Topology; Mathematical Dynamics and Fractals,Physics; Spectral line; Eigenvalues and eigenvectors; Lying; Mathematical physics; Quantum mechanics; Radiology; Medicine,Physics; Spectral line; Eigenvalues and eigenvectors; Lying; Mathematical physics; Quantum mechanics,Classical and Quantum Gravity,journal,https://openalex.org/S171172751
distributed computing,Stochastic Aggregation of Point Particles Revisited,Oleg Zaboronski,2000-11-07,2000-11-07,2000,"cond-mat.stat-mech, nlin.CD",In the present letter we employ the method of the dynamical renormalisation group to compute the average mass distribution of aggregating point particles in 2 dimensions in the regime when the effects of local mass distribution fluctuations are essential…,http://arxiv.org/abs/cond-mat/0011117v1,10.1016/S0375-9601(01)00110-4,https://doi.org/10.1016/S0375-9601(01)00110-4,https://openalex.org/W1970735617,Stochastic aggregation of diffusive particles revisited,2001.0,14.0,Stochastic processes and statistical mechanics; Theoretical and Computational Physics; Advanced Thermodynamics and Statistical Mechanics,Statistical physics; Distribution (mathematics); Mass distribution; Physics; Point (geometry); Mathematics; Mathematical analysis; Quantum mechanics; Geometry; Galaxy,Statistical physics; Distribution (mathematics); Mass distribution; Physics; Point (geometry); Mathematics; Mathematical analysis; Quantum mechanics; Geometry,Physics Letters A,journal,https://openalex.org/S104875562
distributed computing,Localization of a polymer in random media: Relation to the localization of a quantum particle,"Yohannes Shiferaw, Yadin Y. Goldschmidt",2000-11-03,2000-11-03,2000,"cond-mat.dis-nn, cond-mat.soft",In this paper we consider in detail the connection between the problem of a polymer in a random medium and that of a quantum particle in a random potential. We are interested in a system of finite volume where the polymer is known to be {\it localized} inside a low minimum of the potential. We show …,http://arxiv.org/abs/cond-mat/0011064v1,10.1103/PhysRevE.63.051803,https://doi.org/10.1103/PhysRevE.63.051803,https://openalex.org/W2052948648,Localization of a polymer in random media: Relation to the localization of a quantum particle,2001.0,8.0,Diffusion and Search Dynamics; Theoretical and Computational Physics; Markov Chains and Monte Carlo Methods,Eigenfunction; Radius of gyration; Gyration; Symmetry (geometry); Quantum; Position (finance); RADIUS; Physics; Particle (ecology); Gaussian; Quantum mechanics; Statistical physics; Mathematics; Eigenvalues and eigenvectors; Polymer; Geometry; Oceanography; Geology; Economics; Finance; Computer science; Computer security; Nuclear magnetic resonance,Eigenfunction; Radius of gyration; Gyration; Symmetry (geometry); Quantum; Position (finance); RADIUS; Physics; Particle (ecology); Gaussian; Quantum mechanics; Statistical physics; Mathematics; Eigenvalues and eigenvectors; Polymer; Geometry,"Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics",journal,https://openalex.org/S4210224030
distributed computing,The Formal Underpinnings of the Response Functions used in X-Ray Spectral Analysis,John E. Davis,2000-11-03,2000-11-03,2000,astro-ph,This work provides an in-depth mathematical description of the response functions that are used for spatial and spectral analysis of X-ray data. The use of such functions is well-known to anyone familiar with the analysis of X-ray data where they may be identified with the quantities contained in th…,http://arxiv.org/abs/astro-ph/0011068v1,10.1086/319002,https://doi.org/10.1086/319002,https://openalex.org/W2061064396,The Formal Underpinnings of The Response Functions Used in X‐Ray Spectral Analysis,2001.0,46.0,Advanced X-ray and CT Imaging; Medical Imaging Techniques and Applications; Geochemistry and Geologic Mapping,Computation; Telescope; Context (archaeology); Physics; Point source; Computer science; Spectral analysis; Algorithm; Statistical physics; Optics; Astrophysics; Astronomy; Spectroscopy; Paleontology; Biology,Computation; Telescope; Context (archaeology); Physics; Point source; Computer science; Spectral analysis; Algorithm; Statistical physics; Optics; Astrophysics; Astronomy; Spectroscopy,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Finite Temperature Simulations from Quantum Field Dynamics?,"M. Salle, J. Smit, J. C. Vink",2000-10-30,2000-10-31,2000,hep-lat,We describe a Hartree ensemble method to approximately solve the Heisenberg equations for the φ^4 model in 1+1 dimensions. We compute the energies and number densities of the quantum particles described by the φfield and find that the particles initially thermalize with a Bose-Einstein distribution …,http://arxiv.org/abs/hep-lat/0010062v2,10.1016/S0920-5632(01)00996-3,https://doi.org/10.1016/S0920-5632(01)00996-3,https://openalex.org/W2001448173,Finite temperature simulations from quantum field dynamics?,2001.0,1.0,"Quantum, superfluid, helium dynamics; Quantum chaos and dynamical systems; Quantum many-body systems",,,Nuclear Physics B - Proceedings Supplements,journal,https://openalex.org/S4210182546
distributed computing,Transverse energy from minijets in ultrarelativistic nuclear collisions: a next-to-leading order analysis,"K. J. Eskola, K. Tuominen",2000-10-27,2000-10-27,2000,"hep-ph, nucl-th",We compute in next-to-leading order (NLO) perturbative QCD the amount of transverse energy produced into a rapidity region $ΔY$ of a nuclear collision from partons created in the few-GeV subcollisions. The NLO formulation assumes collinear factorization and is based on the subtraction method. We fir…,http://arxiv.org/abs/hep-ph/0010319v1,10.1103/PhysRevD.63.114006,https://doi.org/10.1103/PhysRevD.63.114006,https://openalex.org/W2048036254,Transverse energy from minijets in ultrarelativistic nuclear collisions: A next-to-leading order analysis,2001.0,23.0,High-Energy Particle Collisions Research; Particle physics theoretical and experimental studies; Quantum Chromodynamics and Particle Interactions,Rapidity; Physics; Parton; Factorization; Nuclear physics; Large Hadron Collider; Particle physics; Quantum chromodynamics; Perturbative QCD; Transverse plane; Color-glass condensate; Nuclear matter; Multiplicity (mathematics); Gluon; Nucleon; Structural engineering; Mathematical analysis; Mathematics; Algorithm; Engineering; Computer science,Rapidity; Physics; Parton; Factorization; Nuclear physics; Large Hadron Collider; Particle physics; Quantum chromodynamics; Perturbative QCD; Transverse plane; Color-glass condensate; Nuclear matter; Multiplicity (mathematics); Gluon; Nucleon,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
distributed computing,Coherent QCD phenomena in the Coherent Pion-Nucleon and Pion-Nucleus Production of Two Jets at High Relative Momenta,"L. Frankfurt, G. A. Miller, M. Strikman",2000-10-25,2002-03-31,2000,hep-ph,"We use QCD to compute the cross section for coherent production of a di-jet (treated as a $q\bar q$ moving at high relative transverse momentum,$κ_t $). In the target rest frame,the space-time evolution of this reaction is dominated by the process in which the high $κ_t$ $q\bar q$ component of the p…",http://arxiv.org/abs/hep-ph/0010297v3,10.1103/PhysRevD.65.094015,https://doi.org/10.1103/PhysRevD.65.094015,https://openalex.org/W2140643098,Coherent QCD phenomena in the coherent pion-nucleon and pion-nucleus production of two jets at high relative momenta,2002.0,34.0,Particle physics theoretical and experimental studies; Quantum Chromodynamics and Particle Interactions; High-Energy Particle Collisions Research,Physics; Pion; Quantum chromodynamics; Gluon; Particle physics; Nucleon; Amplitude; Nuclear physics; Wave function; Atomic physics; Quantum mechanics,Physics; Pion; Quantum chromodynamics; Gluon; Particle physics; Nucleon; Amplitude; Nuclear physics; Wave function; Atomic physics; Quantum mechanics,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
distributed computing,"An Efficient Modified ""Walk On Spheres"" Algorithm for the Linearized Poisson-Boltzmann Equation","Chi-Ok Hwang, Michael Mascagni",2000-10-23,2000-10-23,2000,"math-ph, math.NA","A discrete random walk method on grids was proposed and used to solve the linearized Poisson-Boltzmann equation (LPBE) \cite{Rammile}. Here, we present a new and efficient grid-free random walk method. Based on a modified `` Walk On Spheres"" (WOS) algorithm \cite{Elepov-Mihailov1973} for the LPBE, t…",http://arxiv.org/abs/math-ph/0010032v1,10.1063/1.1345817,https://doi.org/10.1063/1.1345817,https://openalex.org/W2078415241,Efficient modified “walk on spheres” algorithm for the linearized Poisson–Bolzmann equation,2001.0,17.0,Material Dynamics and Properties; Composite Material Mechanics; Advanced Mathematical Modeling in Engineering,SPHERES; Poisson's equation; Poisson distribution; Algorithm; Statistical physics; Computer science; Applied mathematics; Mathematics; Physics; Materials science; Mathematical analysis; Statistics; Astronomy,SPHERES; Poisson's equation; Poisson distribution; Algorithm; Statistical physics; Computer science; Applied mathematics; Mathematics; Physics; Materials science; Mathematical analysis; Statistics,Applied Physics Letters,journal,https://openalex.org/S105243760
distributed computing,On the Evolution of the Neutrino State inside the Sun,Alexander Friedland,2000-10-19,2001-01-26,2000,hep-ph,"We reexamine the conventional physical description of the neutrino evolution inside the Sun. We point out that the traditional resonance condition has physical meaning only in the limit of small values of the neutrino mixing angle, theta<<1. For large values of theta, the resonance condition specifi…",http://arxiv.org/abs/hep-ph/0010231v3,10.1103/PhysRevD.64.013008,https://doi.org/10.1103/PhysRevD.64.013008,https://openalex.org/W2276394164,Evolution of the neutrino state inside the Sun,2001.0,38.0,Neutrino Physics Research; Astrophysics and Cosmic Phenomena; Particle physics theoretical and experimental studies,Physics; Adiabatic process; Neutrino; Parametrization (atmospheric modeling); Tangent; Resonance (particle physics); Exponential function; Probability distribution; Distribution (mathematics); Range (aeronautics); Quantum mechanics; Mathematical analysis; Mathematics; Geometry; Composite material; Materials science; Statistics; Radiative transfer,Physics; Adiabatic process; Neutrino; Parametrization (atmospheric modeling); Tangent; Resonance (particle physics); Exponential function; Probability distribution; Distribution (mathematics); Range (aeronautics); Quantum mechanics; Mathematical analysis; Mathematics; Geometry,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
distributed computing,Møller Energy for the Kerr-Newman metric,S. S. Xulu,2000-10-18,2000-10-18,2000,gr-qc,The energy distribution in the Kerr-Newman space-time is computed using the Møller energy-momentum complex. This agrees with the Komar mass for this space-time obtained by Cohen and de Felice. These results support the Cooperstock hypothesis.…,http://arxiv.org/abs/gr-qc/0010062v1,10.1142/S0217732300001651,https://doi.org/10.1142/S0217732300001651,https://openalex.org/W1988395952,MØLLER ENERGY FOR THE KERR–NEWMAN METRIC,2000.0,60.0,Relativity and Gravitational Theory; Noncommutative and Quantum Gravity Theories; Quantum Mechanics and Applications,Physics; Metric (unit); Mathematical physics; Kerr metric; Space (punctuation); Energy (signal processing); Distribution (mathematics); Space time; Classical mechanics; Negative energy; Spacetime; Theoretical physics; Quantum mechanics; Quantum electrodynamics; Mathematical analysis; Operations management; Mathematics; Philosophy; Engineering; Chemical engineering; Economics; Linguistics; Schwarzschild radius,Physics; Metric (unit); Mathematical physics; Kerr metric; Space (punctuation); Energy (signal processing); Distribution (mathematics); Space time; Classical mechanics; Negative energy; Spacetime; Theoretical physics; Quantum mechanics; Quantum electrodynamics; Mathematical analysis,Modern Physics Letters A,journal,https://openalex.org/S45468527
distributed computing,Evolution of the Internal Dynamics of Galaxy Clusters,"M. Girardi, M. Mezzetti",2000-10-16,2000-10-16,2000,astro-ph,"We consider a sample of 51 distant galaxy clusters at 0.15<z<0.9 (<z> about 0.3), each cluster having at least 10 galaxies with available redshift in the literature. We select member galaxies, analyze the velocity dispersion profiles, and evaluate in a homogeneous way cluster velocity dispersions an…",http://arxiv.org/abs/astro-ph/0010302v1,10.1086/318665,https://doi.org/10.1086/318665,https://openalex.org/W2012744742,Evolution of the Internal Dynamics of Galaxy Clusters,2001.0,130.0,"Galaxies: Formation, Evolution, Phenomena; Stellar, planetary, and galactic studies; Astronomy and Astrophysical Research",Velocity dispersion; Astrophysics; Physics; Galaxy cluster; Cluster (spacecraft); Redshift; Galaxy; Galaxy formation and evolution; Luminosity; Brightest cluster galaxy; Virial theorem; Astronomy; Statistical physics; Computer science; Programming language,Velocity dispersion; Astrophysics; Physics; Galaxy cluster; Cluster (spacecraft); Redshift; Galaxy; Galaxy formation and evolution; Luminosity; Brightest cluster galaxy; Virial theorem; Astronomy; Statistical physics; Computer science,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Two-point correlation functions on the light cone: testing theoretical predictions against N-body simulations,"Takashi Hamana, Stephane Colombi, Yasushi Suto",2000-10-15,2000-12-04,2000,astro-ph,"We examine the light-cone effect on the two-point correlation functions using numerical simulations for the first time. Specifically, we generate several sets of dark matter particle distributions on the light-cone up to z=0.4 and z=2 over the field-of-view of πdegree^2 from cosmological N-body simu…",http://arxiv.org/abs/astro-ph/0010287v2,10.1051/0004-6361:20000406,https://doi.org/10.1051/0004-6361:20000406,https://openalex.org/W1987766875,Two-point correlation functions on the light cone: Testing theoretical predictions against $\vec N$-body simulations,2001.0,24.0,"Galaxies: Formation, Evolution, Phenomena; Cosmology and Gravitation Theories; Astronomy and Astrophysical Research",,,Astronomy and Astrophysics,journal,https://openalex.org/S205231332
distributed computing,The Central Velocity Field in NGC 253 : Possible Indication of a Bar,"Mousumi Das, K. R. Anantharamaiah, M. S. Yun",2000-10-12,2000-10-12,2000,astro-ph,We have investigated whether motion of gas in a bar-like potential can account for the peculiar but systematic velocity field observed in the nuclear region of the starburst galaxy NGC 253. This unusual velocity field with gradients along both major and minor axes was revealed in a high resolution (…,http://arxiv.org/abs/astro-ph/0010252v1,10.1086/319430,https://doi.org/10.1086/319430,https://openalex.org/W1990174479,The Central Velocity Field in NGC 253: Possible Indication of a Bar,2001.0,29.0,"Astrophysics and Star Formation Studies; Galaxies: Formation, Evolution, Phenomena; Stellar, planetary, and galactic studies",Physics; Astrophysics; Galaxy; Bar (unit); Vector field; Velocity gradient; Field (mathematics); Field line; Perturbation (astronomy); Astronomy; Magnetic field; Meteorology; Mechanics; Quantum mechanics; Pure mathematics; Mathematics,Physics; Astrophysics; Galaxy; Bar (unit); Vector field; Velocity gradient; Field (mathematics); Field line; Perturbation (astronomy); Astronomy; Magnetic field; Meteorology,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,WFPC2 Observations of the Hubble Deep Field-South,"Stefano Casertano, Duilia de Mello, Mark Dickinson, Henry C. Ferguson, Andrew S. Fruchter, Rosa A. Gonzalez-Lopezlira, Inge Heyer, Richard N. Hook, Zolt Levay, Ray A. Lucas, Jennifer Mack, Russell B. Makidon, Max Mutchler, T. Ed Smith, Massimo Stiavelli, Michael S. Wiggs, Robert E. Williams",2000-10-12,2000-10-12,2000,astro-ph,"The Hubble Deep Field-South observations targeted a high-galactic-latitude field near QSO J2233-606. We present WFPC2 observations of the field in four wide bandpasses centered at roughly 300, 450, 606, and 814 nm. Observations, data reduction procedures, and noise properties of the final images are…",http://arxiv.org/abs/astro-ph/0010245v1,10.1086/316851,https://doi.org/10.1086/316851,https://openalex.org/W2019155966,WFPC2 Observations of the Hubble Deep Field South,2000.0,264.0,"Galaxies: Formation, Evolution, Phenomena; Astrophysical Phenomena and Observations; Gamma-ray bursts and supernovae",,,The Astronomical Journal,journal,https://openalex.org/S100695177
