keyword,title,authors,published,updated,year,categories,summary,id,doi,doi_full,oa_id,oa_title,oa_year,oa_cited_by,oa_topics,oa_concepts,oa_keywords,oa_venue_name,oa_venue_type,oa_venue_id
distributed computing,The Luminosity Function of Galaxies in SDSS Commissioning Data,"SDSS Collaboration, M. R. Blanton",2000-12-05,2001-02-08,2000,astro-ph,"During commissioning observations, the Sloan Digital Sky Survey (SDSS) has produced one of the largest existing galaxy redshift samples selected from CCD images. Using 11,275 galaxies complete to r^* = 17.6 over 140 square degrees, we compute the luminosity function of galaxies in the r^* band over …",http://arxiv.org/abs/astro-ph/0012085v2,10.1086/320405,https://doi.org/10.1086/320405,https://openalex.org/W2154263420,The Luminosity Function of Galaxies in SDSS Commissioning Data,2001.0,611.0,"Galaxies: Formation, Evolution, Phenomena; Gamma-ray bursts and supernovae; Stellar, planetary, and galactic studies",Physics; Astrophysics; Surface brightness; Luminosity function; Luminosity; Galaxy; Surface brightness fluctuation; Absolute magnitude; Redshift; Brightness; Luminous infrared galaxy; Fundamental plane (elliptical galaxies); Astronomy; Brightest cluster galaxy; Disc galaxy,Physics; Astrophysics; Surface brightness; Luminosity function; Luminosity; Galaxy; Surface brightness fluctuation; Absolute magnitude; Redshift; Brightness; Luminous infrared galaxy; Fundamental plane (elliptical galaxies); Astronomy; Brightest cluster galaxy; Disc galaxy,The Astronomical Journal,journal,https://openalex.org/S100695177
distributed computing,Singular statistics,"E. Bogomolny, U. Gerland, C. Schmit",2000-12-04,2000-12-04,2000,nlin.CD,We consider the statistical distribution of zeros of random meromorphic functions whose poles are independent random variables. It is demonstrated that correlation functions of these zeros can be computed analytically and explicit calculations are performed for the 2-point correlation function. This…,http://arxiv.org/abs/nlin/0012003v1,10.1103/PhysRevE.63.036206,https://doi.org/10.1103/PhysRevE.63.036206,https://openalex.org/W3037072869,Singular statistics,2001.0,59.0,Quantum chaos and dynamical systems; Scientific Research and Discoveries; Nuclear physics research studies,Integrable system; Meromorphic function; Dynamical billiards; Mathematics; Random variable; Hamiltonian (control theory); Correlation function (quantum field theory); Pure mathematics; Mathematical analysis; Statistical physics; Mathematical physics; Physics; Statistics; Geometry; Mathematical optimization; Spectral density,Integrable system; Meromorphic function; Dynamical billiards; Mathematics; Random variable; Hamiltonian (control theory); Correlation function (quantum field theory); Pure mathematics; Mathematical analysis; Statistical physics; Mathematical physics; Physics; Statistics; Geometry,"Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics",journal,https://openalex.org/S4210224030
distributed computing,Pseudoparticle Multipole Method: A Simple Method to Implement High-Accuracy Treecode,"Atsushi Kawai, Junichiro Makino",2000-12-02,2000-12-02,2000,astro-ph,"In this letter we describe the pseudoparticle multipole method (P2M2), a new method to express multipole expansion by a distribution of pseudoparticles. We can use this distribution of particles to calculate high order terms in both the Barnes-Hut treecode and FMM. The primary advantage of P2M2 is t…",http://arxiv.org/abs/astro-ph/0012041v1,10.1086/319638,https://doi.org/10.1086/319638,https://openalex.org/W2100667215,Pseudoparticle Multipole Method: A Simple Method to Implement a High-Accuracy Tree Code,2001.0,25.0,Particle accelerators and beam dynamics; Computational Physics and Python Applications; Radio Astronomy Observations and Technology,Multipole expansion; Fast multipole method; Code (set theory); Instanton; Dipole; Algorithm; Tree (set theory); Computer science; Physics; Applied mathematics; Particle physics; Mathematics; Mathematical analysis; Programming language; Quantum mechanics; Set (abstract data type),Multipole expansion; Fast multipole method; Code (set theory); Instanton; Dipole; Algorithm; Tree (set theory); Computer science; Physics; Applied mathematics; Particle physics; Mathematics; Mathematical analysis; Programming language; Quantum mechanics,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,The DIRTY Model. I. Monte Carlo Radiative Transfer Through Dust,"Karl D. Gordon, K. A. Misselt, Adolf N. Witt, Geoffrey C. Clayton",2000-11-30,2000-11-30,2000,astro-ph,We present the DIRTY radiative transfer model in this paper and a companion paper. This model computes the polarized radiative transfer of photons from arbitrary distributions of stars through arbitrary distributions of dust using Monte Carlo techniques. The dust re-emission is done self-consistentl…,http://arxiv.org/abs/astro-ph/0011575v1,10.1086/320082,https://doi.org/10.1086/320082,https://openalex.org/W2071673803,The DIRTY Model. I. Monte Carlo Radiative Transfer through Dust,2001.0,150.0,"Astrophysics and Star Formation Studies; Atmospheric Ozone and Climate; Stellar, planetary, and galactic studies",,,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Momentum distributions and reaction mechanisms for breakup of two--neutron halos,"E. Garrido, D. V. Fedorov, A. S. Jensen",2000-11-28,2000-11-28,2000,nucl-th,"A theoretical model able to describe fragmentation reactions of three--body halo nuclei on different targets, from light to heavy, is used to compute neutron and core momentum distributions. Both Coulomb and nuclear interactions are simultaneously included. We specify the different reaction mechanis…",http://arxiv.org/abs/nucl-th/0011091v1,10.1016/S0370-2693(00)01384-8,https://doi.org/10.1016/S0370-2693(00)01384-8,https://openalex.org/W2070292296,Momentum distributions and reaction mechanisms for breakup of two-neutron halos,2001.0,2.0,Nuclear physics research studies; Nuclear Physics and Applications; Nuclear reactor physics and engineering,Breakup; Halo; Fragmentation (computing); Nuclear physics; Physics; Neutron; Momentum (technical analysis); Coulomb; Halo nucleus; Nuclear reaction; Atomic physics; Mechanics; Astrophysics; Computer science; Economics; Electron; Finance; Operating system; Galaxy,Breakup; Halo; Fragmentation (computing); Nuclear physics; Physics; Neutron; Momentum (technical analysis); Coulomb; Halo nucleus; Nuclear reaction; Atomic physics; Mechanics; Astrophysics; Computer science,Physics Letters B,journal,https://openalex.org/S173952182
distributed computing,Production of Two Photons and a Jet Through Gluon Fusion,"Pankaj Agrawal, Glenn Ladinsky",2000-11-28,2000-11-28,2000,hep-ph,"We have computed the cross-section and distributions for the production of two photons and a jet via the process $g g \to γγg$. In the Standard Model, this process occurs at the one-loop level through pentagon and box diagrams. We show that at the LHC this is a significant mechanism for the producti…",http://arxiv.org/abs/hep-ph/0011346v1,10.1103/PhysRevD.63.117504,https://doi.org/10.1103/PhysRevD.63.117504,https://openalex.org/W2104940750,Production of two photons and a jet through gluon fusion,2001.0,10.0,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Quantum Chromodynamics and Particle Interactions,Gluon; Jet (fluid); Photon; Physics; Production (economics); Fusion; Particle physics; Nuclear physics; Philosophy; Linguistics; Optics; Quantum chromodynamics; Economics; Mechanics; Macroeconomics,Gluon; Jet (fluid); Photon; Physics; Production (economics); Fusion; Particle physics; Nuclear physics; Philosophy; Linguistics; Optics; Quantum chromodynamics; Economics; Mechanics,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
distributed computing,Hydrodynamical winds from two-temperature plasma in X-ray binaries,"David J. Lin, R. Misra, Ronald E. Taam",2000-11-27,2000-11-28,2000,astro-ph,"Hydrodynamical winds from a spherical two-temperature plasma surrounding a compact object are constructed. The mass-loss rate is computed as a function of electron temperature, optical depth and luminosity of the sphere, the values of which can be constrained by the fitting of the spectral energy di…",http://arxiv.org/abs/astro-ph/0011503v2,10.1046/j.1365-8711.2001.04235.x,https://doi.org/10.1046/j.1365-8711.2001.04235.x,https://openalex.org/W2081272370,Hydrodynamical winds from two-temperature plasma in X-ray binaries,2001.0,2.0,Astrophysical Phenomena and Observations; Astrophysics and Cosmic Phenomena; Solar and Space Plasma Dynamics,,,Monthly Notices of the Royal Astronomical Society,journal,https://openalex.org/S195663288
distributed computing,Global MHD Simulations of Cylindrical Keplerian Disks,John F. Hawley,2000-11-27,2000-11-27,2000,astro-ph,This paper presents a series of global three dimensional accretion disk simulations carried out in the cylindrical limit in which the vertical component of the gravitational field is neglected. The simulations use a cylindrical pseudo-Newtonian potential to model the main dynamical properties of the…,http://arxiv.org/abs/astro-ph/0011501v1,10.1086/321348,https://doi.org/10.1086/321348,https://openalex.org/W1570368422,Global Magnetohydrodynamic Simulations of Cylindrical Keplerian Disks,2001.0,124.0,Astrophysics and Star Formation Studies; Astrophysical Phenomena and Observations; Gamma-ray bursts and supernovae,,,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Determining the Geometry and the Cosmological Parameters of the Universe through SZE Cluster Counts,"Zuhui Fan, Tzihong Chiueh",2000-11-24,2000-11-24,2000,astro-ph,"We study Sunyaev-Zeldovich Effect (SZE) cluster counts in different cosmologies. It is found that even without the full knowledge of the redshift distribution of SZE clusters, one can still readily distinguish a flat universe with a cosmological constant from an open universe. We divide clusters int…",http://arxiv.org/abs/astro-ph/0011452v1,10.1086/319780,https://doi.org/10.1086/319780,https://openalex.org/W1970789444,Determining the Geometry and the Cosmological Parameters of the Universe through Sunyaev‐Zeldovich Effect Cluster Counts,2001.0,21.0,"Galaxies: Formation, Evolution, Phenomena; Cosmology and Gravitation Theories; Dark Matter and Cosmic Phenomena",Physics; Hubble's law; Redshift; Shape of the universe; Astrophysics; Universe; Cosmological constant; Metric expansion of space; Age of the universe; Cosmic microwave background; Spectral density; Cosmology; De Sitter universe; Dark energy; Theoretical physics; Galaxy; Quantum mechanics; Statistics; Anisotropy; Mathematics,Physics; Hubble's law; Redshift; Shape of the universe; Astrophysics; Universe; Cosmological constant; Metric expansion of space; Age of the universe; Cosmic microwave background; Spectral density; Cosmology; De Sitter universe; Dark energy; Theoretical physics; Galaxy; Quantum mechanics; Statistics,The Astrophysical Journal,journal,https://openalex.org/S1980519
distributed computing,Stress Relaxation of Near-Critical Gels,"Kurt Broderix, Timo Aspelmeier, Alexander K. Hartmann, Annette Zippelius",2000-11-23,2000-11-23,2000,"cond-mat.soft, cond-mat.dis-nn",The time-dependent stress relaxation for a Rouse model of a crosslinked polymer melt is completely determined by the spectrum of eigenvalues of the connectivity matrix. The latter has been computed analytically for a mean-field distribution of crosslinks. It shows a Lifshitz tail for small eigenvalu…,http://arxiv.org/abs/cond-mat/0011414v1,10.1103/PhysRevE.64.021404,https://doi.org/10.1103/PhysRevE.64.021404,https://openalex.org/W2019070898,Stress relaxation of near-critical gels,2001.0,35.0,Theoretical and Computational Physics; Material Dynamics and Properties; Phase Equilibria and Thermodynamics,Eigenvalues and eigenvectors; Percolation (cognitive psychology); Relaxation (psychology); Exponential function; Exponent; Logarithm; Random matrix; Statistical physics; Stress relaxation; Critical point (mathematics); Percolation threshold; Mathematics; Matrix (chemical analysis); Physics; Mathematical analysis; Materials science; Quantum mechanics; Linguistics; Neuroscience; Psychology; Composite material; Electrical resistivity and conductivity; Philosophy; Kinetics; Social psychology; Biology,Eigenvalues and eigenvectors; Percolation (cognitive psychology); Relaxation (psychology); Exponential function; Exponent; Logarithm; Random matrix; Statistical physics; Stress relaxation; Critical point (mathematics); Percolation threshold; Mathematics; Matrix (chemical analysis); Physics; Mathematical analysis; Materials science; Quantum mechanics,"Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics",journal,https://openalex.org/S4210224030
